Jname,probability,fermi_name
J0001+4742,0.3332822322845459,4FGL J0001.2+4741
J0001-0746,0.8493187899390856,4FGL J0001.2-0747
J0001-0011,8.636032526962166e-05,4FGL J0001.4-0010
J0001+2113,0.5163337662816047,4FGL J0001.5+2113
J0002-2153,0.1411591943593369,4FGL J0001.8-2153
J0003-1547,0.17484714103352417,4FGL J0003.1-1543
J0003-1927,0.57204769263044,4FGL J0003.3-1928
J0003+0717,0.9756173491477966,4FGL J0003.5+0717
J0004-1148,0.6359130974326815,4FGL J0003.9-1149
J0003+0841,4.143835212744307e-06,4FGL J0004.0+0840
J0004+4615,0.0017940213653341135,4FGL J0004.3+4614
J0004-4736,0.9683011472225189,4FGL J0004.4-4737
J0005+3820,0.687768429913558,4FGL J0005.9+3824
J0006-0623,0.7415943860636721,4FGL J0006.3-0620
J0006+0136,2.6920397431240417e-06,4FGL J0006.4+0135
J0007+4008,1.718546968731971e-06,4FGL J0007.7+4008
J0007+4712,0.469439547159709,4FGL J0008.0+4711
J0008-233A,0.5070031707873568,4FGL J0008.4-2339
J0008+6837,0.3078710776936322,4FGL J0008.4+6837
J0008+1456,0.999742329120636,4FGL J0008.4+1455
J0009+0628,0.4021202455563901,4FGL J0009.1+0628
J0009+5030,0.5014452596660702,4FGL J0009.3+5030
J0009-3216,0.6730565730831586,4FGL J0009.7-3217
J0010+2047,0.12265498673460883,4FGL J0010.6+2043
J0010-3027,0.6874507622650037,4FGL J0010.6-3025
J0010-2157,0.6594808240617184,4FGL J0010.8-2154
J0011+0057,0.07940422167996526,4FGL J0011.4+0057
J0011+7045,0.7806521374732256,4FGL J0012.0+7043
J0012+3353,0.002565125126518651,4FGL J0013.0+3355
J0012-3954,0.5562383631134734,4FGL J0013.1-3955
J0013+4051,0.4196904221082125,4FGL J0013.6+4051
J0013-0423,0.05496252131744462,4FGL J0013.6-0424
J0013-1854,0.06800858536058028,4FGL J0013.9-1854
J0013+1910,0.37444836184327684,4FGL J0014.1+1910
J0014+0854,0.21113542420789597,4FGL J0014.2+0854
J0014-0459,9.568474238124797e-05,4FGL J0014.3-0500
J0014+6117,0.1993522099632612,4FGL J0014.8+6118
J0015+3216,0.15851302819956237,4FGL J0014.9+3212
J0015+5551,0.070246372371912,4FGL J0015.6+5551
J0016+2440,0.9959785640239716,4FGL J0015.9+2440
J0016-0015,0.22893474679064332,4FGL J0016.2-0016
J0017-0650,0.0025519322878721808,4FGL J0017.0-0649
J0017-0512,0.27471721315335884,4FGL J0017.5-0514
J0017+1451,0.40266093718619234,4FGL J0017.8+1455
J0018+2947,0.00551778113003815,4FGL J0018.4+2946
J0019+2602,0.2459679401179948,4FGL J0018.8+2611
J0019+7327,0.43569601244146394,4FGL J0019.6+7327
J0019+2021,0.5662829029132026,4FGL J0019.6+2022
J0019+6923,0.986464649438858,4FGL J0020.3+6919
J0021-2550,0.3333953710947147,4FGL J0021.5-2552
J0022-1853,0.20220161601901052,4FGL J0022.1-1854
J0022+0608,0.2542591053671395,4FGL J0022.5+0608
J0023+4456,0.6473961451090873,4FGL J0023.7+4457
J0024+1602,2.0717095139843877e-05,4FGL J0023.9+1603
J0024+4644,0.6575543425744399,4FGL J0024.4+4647
J0024-0811,0.3396749398452812,4FGL J0024.5-0810
J0024+0349,0.10826269014069105,4FGL J0024.7+0349
J0025-2227,0.5617801440220016,4FGL J0025.2-2231
J0028+7506,0.995068520307541,4FGL J0028.1+7505
J0028+2000,0.29386875444228383,4FGL J0028.5+2001
J0029-0113,0.7336228808562737,4FGL J0028.8-0112
J0030-0000,0.0023379726026177667,4FGL J0030.2+0001
J0030-1647,0.0062776766717433,4FGL J0030.2-1647
J0030-4224,0.7692215183749795,4FGL J0030.3-4224
J0030-0211,0.20361988957205643,4FGL J0030.6-0212
J0031+0724,0.9999912977218628,4FGL J0031.3+0726
J0032-2849,0.9984986782073973,4FGL J0032.4-2849
J0033-1921,0.0067265690304338,4FGL J0033.5-1921
J0034+3900,0.9996555149555206,4FGL J0033.9+3858
J0035+1515,0.9939895868301392,4FGL J0035.2+1514
J0035-0835,0.18712961992612995,4FGL J0035.8-0837
J0035+6130,0.5564100288006907,4FGL J0035.8+6131
J0035+5950,0.3855184316635132,4FGL J0035.9+5950
J0036+1434,0.7607499755298098,4FGL J0036.8+1431
J0036+1832,0.00026043127581935,4FGL J0036.9+1832
J0037+1238,0.485134937800467,4FGL J0037.8+1239
J0038+0013,0.9433344006538392,4FGL J0038.1+0012
J0038-2459,0.43208601967196414,4FGL J0038.2-2459
J0038-0207,0.8172960315520564,4FGL J0038.7-0204
J0039-0942,0.111405732106188,4FGL J0039.0-0946
J0039-2220,0.5517966113984585,4FGL J0039.1-2219
J0039+4330,0.8399791717529297,4FGL J0039.1+4330
J0040+4050,0.5826887488365173,4FGL J0040.3+4050
J0040-2340,0.00014794861272088907,4FGL J0040.4-2340
J0040+6054,0.5525682270526886,4FGL J0041.3+6052
J0041+3758,0.5032177343964577,4FGL J0041.4+3800
J0041-1607,0.00046208581625247874,4FGL J0041.7-1607
J0042+2320,0.456214876054986,4FGL J0042.2+2319
J0043-0443,7.388908670691308e-06,4FGL J0043.5-0442
J0043+2223,0.00010819824865388543,4FGL J0043.6+2223
J0043-1116,0.7445666193962097,4FGL J0043.7-1116
J0043+3426,0.5302499165409245,4FGL J0043.8+3425
J0044+6803,0.06651836833907507,4FGL J0044.8+6802
J0045+4555,0.7767617553213818,4FGL J0044.9+4553
J0045-3705,0.6275758489414329,4FGL J0045.1-3706
J0045+2127,0.0049240141852351016,4FGL J0045.3+2128
