Jname,probability,fermi_name
J0000+0248,0.02082900971436174,
J0000+0307,0.317719626053596,
J0000+030B,0.24377377919790885,
J0000+0816,0.9999549388885498,
J0000+1139,0.4995419534971006,
J0000+2914,0.48861093353480095,
J0000+3918,0.5032698975410312,
J0000+4054,0.821865222283772,
J0000+5157,0.147270405315794,
J0000-0022,0.18523201290872746,
J0000-1352,0.5730506628751755,
J0000-3221,0.7514901829690643,
J0000-3738,0.6663368019508198,
J0001+0243,6.00917961340429e-05,
J0001+0632,0.5005076993256806,
J0001+0701,0.0080176652409136,
J0001+0723,0.00864419178105885,
J0001+1456,0.06131753860972815,
J0001+1914,0.11037639303382941,
J0001+2113,0.5163337662816047,4FGL J0001.5+2113
J0001+2358,0.48738983286966686,
J0001+2420,0.00019190083548891381,
J0001+2526,0.213214776093082,
J0001+4351,0.0288513366831466,
J0001+4440,0.5800229609012604,
J0001+4742,0.3332822322845459,4FGL J0001.2+4741
J0001+5258,0.49922723986856,
J0001+5526,0.0071339411661027995,
J0001+6051,0.8621801352904489,
J0001+7213,0.3310502056334978,
J0001-0011,8.636032526962166e-05,4FGL J0001.4-0010
J0001-0020,9.8266276609138e-06,
J0001-0656,0.6329755932092667,
J0001-0746,0.8493187899390856,4FGL J0001.2-0747
J0001-1326,0.2107704877853393,
J0001-1551,0.8154190888162702,
J0001-1741,3.794873839524371e-05,
J0001-2500,4.468003885449434e-05,
J0001-2940,0.9737231731414795,
J0001-3451,0.0474636236322112,
J0002+0408,0.5737503170967102,
J0002+1420,7.831556445125898e-06,
J0002+1605,0.00524833735835265,
J0002+2942,0.040692008173209546,
J0002+3032,0.1429806796368211,
J0002+3455,2.4870817014743807e-06,
J0002+5510,0.028392235137289352,
J0002+7017,0.17447921796747323,
J0002+7459,0.9945282340049744,
J0002-0024,0.49995917827618536,
J0002-0331,0.24302540922565183,
J0002-0411,0.2580817823763936,
J0002-2114,0.0009897601080410797,
J0002-2153,0.1411591943593369,4FGL J0001.8-2153
J0003+0214,0.03436644353405425,
J0003+0615,7.561823451851524e-07,
J0003+0717,0.9756173491477966,4FGL J0003.5+0717
J0003+0841,4.143835212744307e-06,4FGL J0004.0+0840
J0003+1210,0.013123488926794349,
J0003+1227,0.4739497377595399,
J0003+1305,0.17698538631869568,
J0003+1605,0.4609201743214726,
J0003+1629,0.03122827317565675,
J0003+1837,0.8935109972953796,
J0003+2129,0.261400643239449,
J0003+2204,0.04251123364338127,
J0003+2459,0.00016489128756795,
J0003+2740,0.3334970466318434,
J0003+3010,8.2210335676781e-05,
J0003+3241,0.06809170573251315,
J0003+3747,6.076953354750003e-06,
J0003+4807,0.4357972207196456,
J0003+5831,0.0013866395456716,
J0003+6307,0.02568121929652985,
J0003-0626,0.9555372595787048,
J0003-1053,0.0173404142260551,
J0003-1108,8.702518016434624e-06,
J0003-1149,0.2754942764428658,
J0003-1547,0.17484714103352417,4FGL J0003.1-1543
J0003-1727,0.01616805976063911,
J0003-1927,0.57204769263044,4FGL J0003.3-1928
J0003-1941,0.5890033811946134,
J0003-3827,0.20256800204515454,
J0004+0821,0.015592509502312099,
J0004+2019,0.045304949910628604,
J0004+2637,0.46543301918427454,
J0004+2946,0.0066211626399308,
J0004+3617,0.43792009912431235,
J0004+4151,0.9994053840637208,
J0004+4615,0.0017940213653341135,4FGL J0004.3+4614
J0004+5710,2.0017458155052736e-05,
J0004+6115,2.751635747699765e-06,
J0004-0802,0.0023586056195199,
J0004-1148,0.6359130974326815,4FGL J0003.9-1149
J0004-2318,0.00649174838326865,
J0004-4736,0.9683011472225189,4FGL J0004.4-4737
J0005+0418,3.4626274327820283e-06,
J0005+0524,0.17429324669572563,
J0005+1214,0.9787768423557281,
J0005+1609,0.3780857380571498,
J0005+1950,0.015512111577360535,
J0005+1953,0.4997972725177533,
J0005+3206,0.01425604801625005,
J0005+3820,0.687768429913558,4FGL J0005.9+3824
J0005+5428,0.06888837550626094,
J0005+6340,0.0001592806802364,
J0005+6923,0.49994593369774515,
J0005-0132,8.19579190647346e-06,
J0005-0258,0.4343931451439857,
J0005-0530,0.010967715439619451,
J0005-1648,0.6399155099410564,
J0005-2758,0.2675722300111829,
J0005-3445,0.5439385553745524,
J0006+0131,0.0029425732791423,
J0006+0136,2.6920397431240417e-06,4FGL J0006.4+0135
J0006+0548,0.9990147948265076,
J0006+1235,0.5366315919439663,
J0006+1415,0.8100207497288162,
J0006+1728,0.9972826838493347,
J0006+2422,0.42103432600121027,
J0006+3422,7.926358805510251e-05,
J0006+4135,0.7676703333854675,
J0006+4822,0.41945140841198736,
J0006+5050,0.0483852736651897,
J0006-0004,0.2669126072432845,
J0006-0623,0.7415943860636721,4FGL J0006.3-0620
J0006-2801,0.5294177331575668,
J0006-2955,0.17507632899339237,
J0006-3132,2.01872848037965e-06,
J0006-4234,0.00027559536398291527,
J0007+0226,0.5213279528543353,
J0007+0552,0.0004799805972197489,
J0007+1027,0.8779196838537852,
J0007+1745,2.6491197786526754e-05,
J0007+4008,1.718546968731971e-06,4FGL J0007.7+4008
J0007+4712,0.469439547159709,4FGL J0008.0+4711
J0007+5706,0.010069548723952068,
J0007+6255,0.0811618361622095,
J0008+0143,1.6820953078422463e-05,
J0008+0243,0.524379774928093,
J0008+0545,0.28172514356941747,
J0008+0838,0.0410452596843242,
J0008+1144,0.5236846521729603,
J0008+1336,0.4960891988812363,
J0008+1456,0.999742329120636,4FGL J0008.4+1455
J0008+3837,0.9562285840511322,
J0008+6025,0.04398311581462615,
J0008+6837,0.3078710776936322,4FGL J0008.4+6837
J0008-1329,0.7136502265930176,
J0008-2339,0.8000247875849406,
J0008-233A,0.5070031707873568,4FGL J0008.4-2339
J0008-2559,0.25189048671060893,
J0008-3601,0.6933116198440985,
J0008-3945,0.4959209354128688,
J0009+0157,0.5313138226047158,
J0009+0507,5.772139218152007e-06,
J0009+0625,0.16258052723666572,
J0009+0628,0.4021202455563901,4FGL J0009.1+0628
J0009+1513,0.0016710341248350668,
J0009+1742,0.4974103471031412,
J0009+1803,0.501712971192319,
J0009+3629,0.5009765725117177,
J0009+4001,0.771629677942166,
J0009+5030,0.5014452596660702,4FGL J0009.3+5030
J0009+7603,0.14472511613905678,
J0009+7724,0.017630037704975596,
J0009-0731,0.0002714963338803,
J0009-1610,0.00460496905725445,
J0009-2056,0.4990244008367881,
J0009-2829,0.12780010270756034,
J0009-3216,0.6730565730831586,4FGL J0009.7-3217
J0010+0054,0.07473626028334476,
J0010+1058,0.08994691205593797,
J0010+1724,0.8158834367990494,
J0010+2047,0.12265498673460883,4FGL J0010.6+2043
J0010+2619,0.9042874972025553,
J0010+2650,2.2699177748108923e-05,
J0010+2717,0.0013196597574278,
J0010+2838,0.018909805496150477,
J0010+2854,0.00014601871305330177,
J0010+2956,0.00523691109265195,
J0010+3200,6.956931974855069e-05,
J0010+4412,0.12038117637735009,
J0010-0020,0.503602873533964,
J0010-0433,0.4206208198808478,
J0010-0740,0.05449906084686515,
J0010-1420,8.984060855254938e-07,
J0010-2157,0.6594808240617184,4FGL J0010.8-2154
J0010-2742,0.00015150922081371017,
J0010-2945,0.29461467529472424,
J0010-3027,0.6874507622650037,4FGL J0010.6-3025
J0010-3054,0.2718494581039863,
J0010-3648,0.322018491304334,
J0010-4153,0.4988397037338776,
J0011+0057,0.07940422167996526,4FGL J0011.4+0057
J0011+0823,0.45258043896105576,
J0011+0834,0.013791934819892,
J0011+1624,0.5427302569150925,
J0011+2159,0.4955958131122316,
J0011+2420,0.4262652322649956,
J0011+2928,0.9958005845546722,
J0011+3443,0.35196516930591315,
J0011+3529,0.0509626045823097,
J0011+7045,0.7806521374732256,4FGL J0012.0+7043
J0011-0304,0.20477089378982782,
J0011-1434,0.2601271566407591,
J0011-2612,0.24961480823341856,
J0011-3302,0.0610114559531211,
J0011-3620,0.43300727009773254,
J0012+0719,0.17818382364542626,
J0012+1751,0.4978676372491008,
J0012+2702,0.9694251120090485,
J0012+3353,0.002565125126518651,4FGL J0013.0+3355
J0012+4704,0.049634453126751986,
J0012+5730,0.6155629754066467,
J0012+6551,0.3650696275595692,
J0012-1248,1.0440964388180873e-05,
J0012-1431,0.01774792634776641,
J0012-1628,0.008678390555132861,
J0012-3846,0.0587299350445391,
J0012-3954,0.5562383631134734,4FGL J0013.1-3955
J0013+1910,0.37444836184327684,4FGL J0014.1+1910
J0013+2646,0.3224407277011778,
J0013+2834,0.0003722444525919,
J0013+4051,0.4196904221082125,4FGL J0013.6+4051
J0013+4255,0.9999945759773254,
J0013+4636,0.3806868189033896,
J0013+7748,0.3492646926680874,
J0013-0423,0.05496252131744462,4FGL J0013.6-0424
J0013-1513,0.10797142554669388,
J0013-1854,0.06800858536058028,4FGL J0013.9-1854
J0013-2537,0.46273893833767943,
J0013-3226,0.10998174953662476,
J0013-3227,0.24998802640054407,
J0014+0854,0.21113542420789597,4FGL J0014.2+0854
J0014+2815,0.004303817299538978,
J0014+5135,0.01385446637868875,
J0014+6117,0.1993522099632612,4FGL J0014.8+6118
